index,price_clp,price_uf,price_usd,ubicacion,dorms,baths,built area,total area,parking,id,realtor,comuna_id
5025,150000000,4215,186800,SanBernardo,6,2.0,161.0,200.0,1.0,6907987,Agente Propiedades,29
5026,1637140000,46000,2038780,VíaAurora/LoCurro,5,5.0,491.0,1028.0,2.0,7111179,Unne,22
5027,110000000,3091,136986,AvenidaMéxico-PerpetuaFreire,4,1.0,60.0,97.0,1.0,9738255,Unne,8
5028,305006300,8570,379833,AvenidaElSauce,4,4.0,140.0,260.0,3.0,9289698,Kasalu Propiedades,5
5029,150000000,4215,186800,GranAvenida/America,6,2.0,200.0,300.0,1.0,2526485,Jorge Pablo Caro Propiedades,3
5030,323869000,9100,403324,SectorLagunaAyres/Chicureo,3,4.0,140.0,450.0,3.0,10233880,Easyprop,35
5031,241122250,6775,300277,MetroTrinidad,4,3.0,109.0,146.0,1.0,11547017,Erazo Propiedades,8
5032,391134100,10990,487091,RojasMagallanes/LasPerdices,5,3.0,155.0,299.0,4.0,9594963,Schumacher Propiedades,8
5033,462670000,13000,576177,Nancy,5,3.0,204.0,250.0,2.0,9747532,Mi Llave,18
5034,284720000,8000,354570,AvenidaVicuñaMackennaconCalleUno,3,2.0,,,2.0,9758606,Grupo Premium Propiedades Santiago,38
5035,818570000,23000,1019390,Avda.Quinchamalí-ElClaveldelAire,4,3.0,245.0,1049.0,4.0,6486505,Sucursal Cantagallo,12
5036,813800940,22866,1013451,AlonsodeCamargo,5,4.0,315.0,569.0,4.0,11204743,Unne,12
5037,180000000,5058,224159,entreevangelistayralun,4,2.0,90.0,243.0,1.0,10842880,Unne,4
5038,886191000,24900,1103600,TalaganteSantiagodeChile,5,3.0,15190.0,15190.0,10.0,11209591,Tradehouse,33
5039,120000000,3372,149440,PasajeVictoriaconLarrain,4,2.0,140.0,200.0,1.0,11185543,Vivanco Propiedades,38
5040,88975000,2500,110803,Casade2pisoscon3d+2byestacionamientotechado.,3,2.0,87.0,98.0,,10855829,Corredorpro Spa,25
5041,45000000,1264,56040,jessica,2,1.0,60.0,80.0,1.0,10863500,Mi Llave,24
5042,288279000,8100,359002,Ayresdechicureo,3,3.0,104.0,284.0,2.0,8832156,Unne,35
5043,138801000,3900,172853,Terrandina,3,2.0,80.0,120.0,1.0,8125279,Easyprop,24
5044,516055000,14500,642659,Noespecifica,5,4.0,180.0,390.0,2.0,11218102,Todo Propiedades,13
5045,72500000,2037,90286,RamónVenegas,2,1.0,52.0,70.0,1.0,11220286,Todo Propiedades,24
5046,100000000,2810,124533,Lasdalias2195,2,1.0,70.0,100.0,1.0,4565969,Corredores Independientes,36
5047,222900170,6263,277584,Elrector/eldecano,4,2.0,136.0,235.0,,8274312,Italprop Propiedades,16
5048,1326439300,37270,1651855,EspectacularesvistasdesdeCerrodelmedio,5,4.0,260.0,760.0,4.0,9685257,Easyprop,34
5049,66500000,1869,82814,SoterodelRio/avenidaAméricoVespucio,4,2.0,140.0,180.0,3.0,9233022,,8
5050,96500000,2711,120174,Avda.TenienteCruz/RicardoVial,3,2.0,55.0,162.0,,9486996,Procasa Felipe Acosta Propiedades,15
5051,68000000,1911,84682,arica,2,1.0,50.0,70.0,1.0,8401935,Unne,4
5052,160000000,4496,199253,Av.Marathon/Dr.GuillermoMann,4,1.0,85.0,144.0,1.0,8478620,Aleida Lama Propiedades,18
5053,437757000,12300,545152,Ciudaddelniño,5,2.0,221.0,450.0,,10841720,Tsi Property,31
5054,86448110,2429,107656,Huamatala-Caren-Aristóteles,4,1.0,70.0,120.0,,10270685,Grupo Premium Propiedades Santiago,20
5055,871955000,24500,1085872,Pasajecerrado/caminoreal,6,5.0,348.0,700.0,,9952816,Francisco Vial Propiedades,34
5056,80000000,2248,99626,SantaFlorencia,3,1.0,43.0,60.0,,11545696,Unne,17
5057,120000000,3372,149440,Ríosena,3,2.0,99.0,206.0,1.0,11545660,Unne,19
5058,565881000,15900,704709,Herrera,5,2.0,267.0,559.0,,11544639,Unne,33
5059,97000000,2725,120797,Cabodeseado/bahiatefusis,4,2.0,80.0,80.0,1.0,11542966,Casa y Llaves,24
5060,309633000,8700,385595,CondominioValleLasAraucarias,3,3.0,118.0,366.0,2.0,11542365,Grupo Premium Propiedades Santiago,37
5061,341308100,9590,425041,AlcaldeJoséLuisInfanteLarraín/Lautaro,5,3.0,139.0,250.0,1.0,6562090,Procasa Inmobiliaria Echagüe,17
